Stocks,Max,Min,Mean,STD
AAL,110.68207197690995,72.65068377878276,103.61649058250104,4.243652439525358
AAPL,68.97122196914378,61.51844086702533,65.70407827409501,2.4793173627064147
AMZN,71.44674587719379,43.576639150630385,61.03842283914563,9.719512654051464
BAC,49.01419479536361,33.48658317284381,41.51397740747207,5.034694060618032
F,90.68396226415094,49.51095337061695,70.24559350143235,13.723419292198797
GOOG,56.216736901935306,44.67262637556794,49.33447800827252,4.32156575308426
IBM,56.367029732786165,41.926633002495535,46.89037959266441,5.113997790625787
INTC,56.05844323962994,44.03290000267394,50.69840871648734,4.292729182599953
NVDA,263.5168510585972,205.57084063905899,228.2240224664371,20.046324852704302
XOM,87.62398075121669,57.511258204078025,72.2651705918834,9.804399427182801
,91.05812385669273,,,
