Stocks,Max,Min,Mean,STD
AAL,117.69675570950452,68.78399965567137,96.88354073077608,17.117778777667066
AAPL,79.27953952392602,65.12351918306418,71.59324307654533,5.08099271651182
AMZN,69.86640619953116,52.284433925951234,61.35734599484132,6.132879941830644
BAC,43.11988908046076,27.496584587323298,36.427688653511474,6.013236558970873
F,106.44897248163063,34.21177391905282,72.308871428907,19.700634329917005
GOOG,59.79804940063372,41.6231338971127,48.22277365078683,6.465291770341906
IBM,50.53949516306649,32.29380316427613,41.54488516292081,5.3929167028491936
INTC,56.05844323962994,42.753738204927146,50.98235414735998,4.71726042833375
NVDA,253.47252763635555,205.12421004452207,229.8715795710056,16.1443753796185
XOM,84.92731937039082,64.51612906852225,73.85302901189371,7.14895274940486
,92.12073978051298,,,
