Stocks,Max,Min,Mean,STD
AAL,106.47964013768143,60.96681545939487,87.42944642678964,11.809306660420836
AAPL,67.23379262258355,52.81838346465397,64.73674685089345,2.964518206607168
AMZN,73.74061268271377,50.19048531031576,59.416733851209884,7.926022296265101
BAC,41.19723973365315,29.962133857679774,35.122557349471805,4.680792429991097
F,76.25747810921092,61.135157192273,68.64105027022788,5.66984259965395
GOOG,54.42991087737802,43.61254737562045,49.589642288435144,3.807861999660172
IBM,50.31546411174219,43.81129136575465,48.56899737980923,2.4809900866553263
INTC,59.79424692703172,48.22655402659486,52.92359983585277,4.080888661310563
NVDA,255.7493358173985,128.58569328612978,214.27541202238416,46.07936643598185
XOM,77.51439355517401,55.56376290908093,66.09413104805309,8.892235183222313
,86.27121145745674,,,
