Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,132.71243185780898,4.919781017133897,0.0,0.0
AAPL,95.29185301541823,0.6579827151457759,2.8101508853649224,0.0
AMZN,91.40500585246592,1.132213459347041,62.81905752035635,0.0
BAC,52.68114365797865,1.647959430724249,23.06437750779026,0.0
F,103.04735464695959,0.1716741248022102,11.624203821656048,0.0
GOOG,60.21637327338787,0.800174329515401,1.4934984420328818,0.0
IBM,59.722193790433465,1.5485839067959501,16.71253357915037,0.0
INTC,64.43320451422765,1.1550704134457237,13.676137275505443,0.0
NVDA,272.5759154722205,0.11996241334309542,253.47252763635555,0.0
XOM,88.30048516845787,1.9073362475280027,7.172074550858267,0.0
