Date;Open;High;Low;Close;Adj Close;Volume;Gain;Loss;Gain_av_7days;Loss_av_7days;RS_7days;RSI_7days;Gain_av_14days;Loss_av_14days;RS_14days;RSI_14days;Gain_av_21days;Loss_av_21days;RS_21days;RSI_21days
19/08/2004;2.490664;2.591785;2.390042;2.499133;2.499133;897427216;;;;;;;;;;;;;;
20/08/2004;2.51582;2.716817;2.503118;2.697639;2.697639;458857488;0.19850600000000007;0.0;;;;;;;;;;;;
23/08/2004;2.758411;2.826406;2.71607;2.724787;2.724787;366857939;0.02714799999999995;0.0;;;;;;;;;;;;
24/08/2004;2.770615;2.779581;2.579581;2.61196;2.61196;306396159;0.0;0.11282700000000023;;;;;;;;;;;;
25/08/2004;2.614201;2.689918;2.587302;2.640104;2.640104;184645512;0.02814400000000017;0.0;;;;;;;;;;;;
26/08/2004;2.613952;2.688672;2.606729;2.687676;2.687676;142572401;0.04757200000000017;0.0;;;;;;;;;;;;
27/08/2004;2.692408;2.70536;2.632383;2.64384;2.64384;124826132;0.0;0.04383600000000021;;;;;;;;;;;;
30/08/2004;2.622171;2.627402;2.540727;2.540727;2.540727;104429967;0.0;0.10311300000000001;0.04305285714285719;0.03711085714285721;1.1601148681941358;53.70616559683218;;;;;;;;
31/08/2004;2.54795;2.583068;2.544463;2.549693;2.549693;98825037;0.00896600000000003;0.0;0.015975714285714333;0.03711085714285721;0.4304862650899241;30.093701393411322;;;;;;;;
01/09/2004;2.557912;2.564637;2.482445;2.496891;2.496891;183633734;0.0;0.052801999999999794;0.012097428571428624;0.044654000000000034;0.2709147796709951;21.31651814932293;;;;;;;;
02/09/2004;2.47049;2.549693;2.464263;2.528273;2.528273;303810504;0.0313819999999998;0.0;0.01658057142857145;0.028535857142857144;0.5810433990317954;36.75062932412966;;;;;;;;
03/09/2004;2.514326;2.534002;2.473728;2.490913;2.490913;103538639;0.0;0.03736000000000006;0.01256;0.03387300000000001;0.3707967998110589;27.049727564447693;;;;;;;;
07/09/2004;2.51582;2.540478;2.480951;2.530017;2.530017;117506800;0.03910400000000003;0.0;0.011350285714285693;0.03387300000000001;0.33508356845527976;25.09832166109112;;;;;;;;
