Stocks,Max,Min,Mean,STD
AAL,132.5105940720678,83.84457492917882,109.23480639788363,15.627825667409917
AAPL,83.65923997560239,0.0,67.76604828414723,10.050062551534547
AMZN,70.72321165365709,50.19048531031576,61.15424758556257,7.012764713978423
BAC,41.186227764581545,23.235637111859297,33.590325694051884,8.18531769488606
F,80.39828450503457,61.135157192273,70.72172345175655,6.409545681474212
GOOG,51.51357188031081,41.01623401498441,46.81174065824689,3.7366361776247623
IBM,54.63321987699869,27.803236433152335,45.636242914378556,9.328793895702708
INTC,60.041141405032626,45.01927983708665,50.59762196634206,5.286058710669799
NVDA,244.3396516343726,161.54063445945056,220.4051121796123,13.851715997980783
XOM,81.59674289478689,50.04830608654431,68.86119539996112,10.325976741813577
,90.06018856624449,,,
