Stocks,Max,Min,Mean,STD
AAL,95.35108979267653,82.65157983274935,89.43140549329544,5.153388191884726
AAPL,78.61474044963826,52.0955513076354,66.19074085265804,8.44276602417938
AMZN,73.5079989896609,43.576639150630385,58.46616541261517,10.819959226894287
BAC,47.15964350239901,27.496584587323298,37.086347987267224,7.454748102068806
F,102.30816608580699,55.87865237659597,72.43935558554583,16.772008429803066
GOOG,56.216736901935306,43.231374623241805,49.74354811805383,4.872904179441275
IBM,54.75578313485208,32.81273503924406,47.97529539009275,7.982166225000593
INTC,56.05844323962994,41.511617283825146,51.40863472540216,5.129999155886486
NVDA,264.3263546327174,198.76861849312286,226.3732770591517,27.006028222660532
XOM,75.28314367540992,50.05250503935687,58.80436186110636,9.784853863662539
,90.35821004047264,,,
