Stocks,Max,Min,Mean,STD
AAL,64.63698427756846,17.285279836172798,37.619982594308745,19.90034869995758
AAPL,97.15226999390514,39.82349833446921,62.25192135775698,25.010780493812106
AMZN,138.32576909008822,17.0860869184647,92.78386316378766,53.893707234966016
BAC,58.17018512238769,16.0621216499948,30.547713722514228,19.53979616398055
F,44.022211418370944,7.831459216298114,21.839022740919265,15.86554487388013
GOOG,118.01182309573173,71.05805268850597,90.97895731654694,19.817486090574178
IBM,33.67630149463684,13.651683614881183,26.09402665402929,8.867977126658458
INTC,51.014339606742986,10.760652905953712,34.630284868183914,17.26490125524389
NVDA,151.48782193881442,26.570894126625014,93.27463010592196,51.34930521071969
XOM,35.07416666275942,26.058592543637836,29.476396328261036,3.9903495914748057
