Stocks,Max,Min,Mean,STD
AAL,-2.985813351762444,58.55119174272993,32.73901344166141,22.571818813712405
AAPL,-34.891886191291164,20.060840663911097,-2.4715847831375224,16.28631597899093
AMZN,11.319887927036547,41.339941600608874,21.59128910804958,8.356631096992531
BAC,-15.43395035123861,2.807391592407167,-1.4825921777965358,6.134567645316487
F,-47.07881883738119,49.51095337061695,-3.8161517285168083,26.142585260414485
GOOG,-33.960320292258444,37.15994998093815,7.313415800173226,18.660913091413533
IBM,-4.759245627269454,29.167007367197193,9.156916133424621,12.864437857818508
INTC,8.789335935445438,28.737644625510978,20.33564056053559,8.822227366487738
NVDA,-50.958128647295545,92.61178453685118,27.438368941027523,40.316207958907526
XOM,-44.37909517792968,57.511258204078025,4.80753848332124,25.099337868380694
