Stocks,Max,Min,Mean,STD
AAL,110.4596837972453,89.38885442147864,100.86581327364205,8.001317618986555
AAPL,85.10303241775222,58.98160829805214,74.21510391091184,10.170156845741774
AMZN,95.75583021502855,49.33885267339052,61.5200897022321,17.25394343032367
BAC,49.01419479536361,26.86724335465393,34.58923826497264,7.87689620581039
F,102.30816608580699,60.2283787309711,75.81625112128796,15.287536848513561
GOOG,54.60312134240049,44.51785508237076,51.31833439263255,3.4512967260657224
IBM,57.01239866949817,43.32733858928512,48.020882577645516,4.7289084365438825
INTC,56.05844323962994,45.611347274759524,50.952325042621055,3.3663438890541233
NVDA,249.42503140838863,205.57084063905899,225.00117726598268,17.546922234364903
XOM,76.22829342933994,54.040529644970874,64.96403533090603,8.91504104859736
,93.59681954004537,,,
