Stocks,Max,Min,Mean,STD
AAL,114.76731372246908,50.28842044710005,98.32953183005796,7.633243545592312
AAPL,65.48350670096,22.90824826531421,53.33858769170634,15.965914417364814
AMZN,74.93905416103874,17.48052444691393,59.243825389387744,9.189972365597793
BAC,28.655010839192975,19.234005870763355,23.869578418363687,3.7104147509058496
F,67.26681307079595,49.382876541087754,59.158368211718745,7.980660805040822
GOOG,51.71087046383315,34.89699345931545,38.225986854431696,6.203101105368411
IBM,58.62364526743225,18.813250165854775,43.59574039151795,4.7256085744878185
INTC,56.31802092996564,26.63682380202634,48.382430455719486,2.5706532005332834
NVDA,233.08923303342874,97.6160824230576,169.5487816448298,57.682991793537674
XOM,69.5163756263912,45.98887003972635,54.48288486479462,8.073731783519232
,82.03698438155078,,,
