Stocks,Max,Min,Mean,STD
AAL,113.79989780378918,57.34271491981365,97.08194279948124,11.268701898247047
AAPL,76.50339029216009,57.95074399308755,65.69820820366047,6.230771723123281
AMZN,73.74061268271377,43.17114056572395,58.26916086925221,9.468790996320978
BAC,43.11988908046076,29.2401960315833,36.13456970130196,5.061920495876597
F,91.72560506966977,49.51095337061695,68.4798689355047,14.030416839120532
GOOG,56.216736901935306,42.75604584422985,49.17388658283916,5.01845761925705
IBM,58.62364526743225,47.88664394433033,51.63091540498833,3.7303130155817628
INTC,56.05844323962994,46.535354291286055,51.52349575138165,3.545162763818893
NVDA,245.74063620622604,209.3325867049896,220.03929358089823,14.137822303424166
XOM,76.22829342933994,46.52571112040789,58.767842211931864,10.081900710310073
,89.1757149973357,,,
