Stocks,Max,Min,Mean,STD
AAL,132.71243185780898,87.77730706146086,108.24545740356255,11.083241884652267
AAPL,91.1914082986187,52.61471676833664,73.64355806489066,10.673109188759518
AMZN,95.75583021502855,51.878060981856436,76.22813746371277,11.588431450880256
BAC,52.68114365797865,32.526618908140364,43.30429708613918,4.420826059813417
F,102.30816608580699,40.305280023555675,75.19121900741882,14.702142251710972
GOOG,60.24059262642358,38.085114828726475,51.19796249360945,5.197037471621081
IBM,59.722193790433465,40.847454273542745,51.972584246653724,5.293793602851564
INTC,64.63290740987858,50.70562859283409,56.04493310702775,3.270018885728868
NVDA,282.3859911116002,209.3325867049896,242.6843302279644,20.489389527302908
XOM,90.098719374723,55.25514289663694,74.20803037184955,9.113411666350082
