Stocks,Max,Min,Mean,STD
AAL,203.67340901423893,127.32681505202885,182.92994904842422,20.971623351789074
AAPL,139.9749943407055,96.21783117774727,119.9304306971775,10.902880041206712
AMZN,404.8738092741846,158.02445994618333,365.45064295707107,60.9078862682869
BAC,92.87047752719407,71.31493540695466,86.63044807371956,5.617891952398927
F,75.51434158994702,50.43076356207996,64.97525293561665,7.360410419349139
GOOG,137.40418927074202,99.12820913963186,120.91213148419106,8.463127973434386
IBM,83.66040828613089,41.276874774873235,65.47727151058528,10.237419108934937
INTC,82.91014267890151,63.90905536739918,71.65741760719678,4.376624127422848
NVDA,252.22092256548976,217.94995569045173,236.4700968204631,9.291283321910152
XOM,59.54833045324341,39.8564216590478,50.30072147877953,4.301902619529881
