Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,121.54267856635192,2.5016879067341344,0.0,0.0
AAPL,89.79727042848273,0.6579827151457759,2.8101508853649224,0.0
AMZN,69.65183550307592,1.375711895600368,5.459518076422313,0.0
BAC,47.15964350239901,0.6871695013381686,23.06437750779026,0.0
F,106.44897248163063,0.15743435135534722,11.624203821656048,0.0
GOOG,51.57884966407582,0.29299371499821014,30.03900919408453,0.0
IBM,57.01239866949817,1.5875740330042558,3.400374016782127,0.0
INTC,64.63290740987858,1.0384729813124047,6.1239960845598915,0.0
NVDA,253.47252763635555,0.0,6.235733162213121,0.0
XOM,74.45380776735007,1.684696698189945,7.172074550858267,0.0
,93.57508916290985,0.9983723797678611,9.592943729973149,0.0
