Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,114.76731372246908,3.569839583055694,0.0,0.0
AAPL,75.7805581351415,0.49346553460828735,2.8101508853649224,0.0
AMZN,74.33643687954441,1.5641908327452259,0.3807390689561302,0.0
BAC,43.11988908046076,1.7210577234796935,19.234005870763355,0.0
F,76.25747810921092,1.0477742567597639,0.0,0.0
GOOG,59.61805448122651,0.7890295097727472,0.0,0.0
IBM,58.62364526743225,1.3669519935363683,16.71253357915037,0.0
INTC,60.1273573198691,1.1561905223699702,6.1239960845598915,0.0
NVDA,233.08923303342874,0.2948791872702619,3.423691574765312,0.0
XOM,72.84010293066393,1.7328877543752204,0.0,0.0
,86.85600689594472,1.3736266897973233,4.868511706355998,0.0
