Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,107.28448969781766,5.4892038947619906,0.0,0.0
AAPL,68.97122196914378,0.5907351531985667,2.8101508853649224,0.0
AMZN,63.893114009030384,2.461899039773319,0.3807390689561302,0.0
BAC,51.62950417378344,0.6202920925882542,19.234005870763355,0.0
F,90.68396226415094,0.0,11.624203821656048,0.0
GOOG,49.647414956449275,0.7598418306614243,1.4934984420328818,0.0
IBM,52.49336838781659,1.1397682325525003,2.4019674981770507,0.0
INTC,56.05844323962994,1.2691359724932403,6.1239960845598915,0.0
NVDA,233.08923303342874,0.2948791872702619,6.235733162213121,0.0
XOM,75.28314367540992,1.829111865615862,7.172074550858267,0.0
,84.90338954066605,1.445486726891542,5.747636938458167,0.0
