Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,107.28448969781766,5.4892038947619906,0.0,0.0
AAPL,74.76596094559986,0.39391299741261154,2.8101508853649224,0.0
AMZN,67.56203408103585,0.27824749946020144,0.0,0.0
BAC,43.11988908046076,1.7210577234796935,19.234005870763355,0.0
F,67.26681307079595,1.8584968086375095,11.624203821656048,0.0
GOOG,45.76505143416755,0.9366121259304636,1.4934984420328818,0.0
IBM,57.01239866949817,1.5875740330042558,2.841282724717386,0.0
INTC,56.69155239429148,1.635161890620321,6.1239960845598915,0.0
NVDA,233.08923303342874,0.2948791872702619,3.423691574765312,0.0
XOM,69.5163756263912,0.5915986119016644,7.172074550858267,0.0
,82.20737980334872,1.4786744772478975,5.4722903954718065,0.0
