Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,114.36065132923652,3.3571027353572367,0.0,0.0
AAPL,81.61856144667509,0.4262199770266192,2.8101508853649224,0.0
AMZN,67.56203408103585,0.27824749946020144,4.7613094798913975,0.0
BAC,49.01419479536361,0.9701890828085038,23.06437750779026,0.0
F,102.30816608580699,0.0,102.30816608580699,0.0
GOOG,56.216736901935306,1.2070551202459967,30.03900919408453,0.0
IBM,54.6928375564724,1.5735366398990218,5.878309898145638,0.0
INTC,60.041141405032626,0.811858124823103,6.1239960845598915,0.0
NVDA,266.7137037757848,0.07598328497978292,82.2191788613414,0.0
XOM,76.929301441608,1.0627331097316757,7.172074550858267,0.0
,92.94573288189511,0.9762925574332142,26.43765725478433,0.0
