Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,114.36065132923652,3.3571027353572367,0.0,0.0
AAPL,68.75500586124174,0.675625457340185,2.8101508853649224,0.0
AMZN,60.23970953864546,0.0,0.0,0.0
BAC,47.15964350239901,0.6871695013381686,19.234005870763355,0.0
F,75.59870030151903,1.2104687543580863,11.624203821656048,0.0
GOOG,46.013611355113056,0.6294685811701066,0.0,0.0
IBM,45.79050290237485,0.922098206089418,1.9353226599962212,0.0
INTC,56.05844323962994,1.2691359724932403,6.1239960845598915,0.0
NVDA,239.68166221142164,0.0,3.423691574765312,0.0
XOM,69.5163756263912,0.5915986119016644,7.172074550858267,0.0
,82.31743058679726,0.9342667820048105,5.232344544796402,0.0
