Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,121.54267856635192,2.5016879067341344,0.0,0.0
AAPL,79.321741600718,0.4262199770266192,2.8101508853649224,0.0
AMZN,80.8004268510759,1.389724803089753,5.2336120142211975,0.0
BAC,47.15964350239901,0.6871695013381686,23.06437750779026,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,52.21181894949967,0.8525050612045212,30.03900919408453,0.0
IBM,57.01239866949817,1.5875740330042558,2.841282724717386,0.0
INTC,57.701734553496024,1.8152501571738613,34.935406623190886,0.0
NVDA,263.5168510585972,0.028680421743131478,3.423691574765312,0.0
XOM,88.30048516845787,1.9073362475280027,7.172074550858267,0.0
,94.98759450059006,1.1196148108842447,12.114380889664883,0.0
