Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,114.36065132923652,3.3571027353572367,0.0,0.0
AAPL,71.28012430523377,0.5912734635997263,2.8101508853649224,0.0
AMZN,73.84717057441937,1.2193728770408312,4.7613094798913975,0.0
BAC,49.01419479536361,0.9701890828085038,23.06437750779026,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,49.550483647830376,0.9221565138489259,30.03900919408453,0.0
IBM,57.01239866949817,1.5875740330042558,17.781585801924415,0.0
INTC,60.008149579963884,1.6536941374036729,6.1239960845598915,0.0
NVDA,253.47252763635555,0.0,3.423691574765312,0.0
XOM,81.59674289478689,1.8586729356091056,7.172074550858267,0.0
,91.24506095184951,1.2160035778672258,10.680039890089505,0.0
