Stocks,Max,Min,Mean,STD
AAL,122.29630911781997,50.18040687623842,93.85584609891342,23.78399187136839
AAPL,85.80748140063741,67.45567782981007,79.2646430875679,5.7146396102275645
AMZN,60.23970953864546,50.086735343164854,55.5114915697075,3.334014195668934
BAC,50.82659236501405,32.37498279340734,40.90407758692474,6.049155347221178
F,95.38436435492184,47.713473741848276,73.71158347895984,15.843025292585773
GOOG,54.42991087737802,43.05641965558243,48.33336730324365,4.219517944760919
IBM,58.1201772699522,35.45114202913931,48.1450674721045,7.863446953623483
INTC,59.93349848690003,46.433533508515026,53.79343797845536,2.939035118239129
NVDA,266.7137037757848,116.70012899494515,233.60008717531474,25.56864812134558
XOM,81.89439244256292,69.7881151046837,75.4844460284234,4.301322829207512
,93.56461396296166,,,
