Stocks,Max,Min,Mean,STD
AAL,107.28448969781766,80.69554395393209,94.65032372474747,11.766056085491545
AAPL,74.76596094559986,65.48350670096,70.42447387270545,3.7057485963367776
AMZN,75.56807976553829,50.66729994505231,65.72507740943705,11.109648365455454
BAC,47.15964350239901,27.496584587323298,39.00983626994569,6.830979387995139
F,79.73950669734268,61.135157192273,73.16785852628274,6.331855478090958
GOOG,56.216736901935306,46.097309763594744,49.71570028819988,3.812169890561623
IBM,54.63321987699869,42.55443599533717,45.738435647765506,4.506953609594145
INTC,56.23593601645509,46.158639670982936,51.711367802674,3.6488547853580706
NVDA,241.9584703924646,128.58569328612978,206.8149540548985,40.43265685720827
XOM,70.07123348628559,54.1622826390019,62.99774036753106,6.04091326541357
,86.36332772828368,,,
