Stocks,Max,Min,Mean,STD
AAL,129.53338103007917,69.33340198639189,105.25980635996359,19.68004317265136
AAPL,79.27953952392602,47.434467330252176,66.17879560403188,10.859960376135888
AMZN,83.41349439090487,43.576639150630385,63.592725562882244,14.797793860592098
BAC,43.11988908046076,27.496584587323298,36.53015174838894,5.462819235620432
F,88.37940943090713,60.2283787309711,73.02339056578464,10.536341806126588
GOOG,54.42991087737802,40.23968841771104,47.52525582426288,5.852530567541441
IBM,46.02144571391625,42.007773836085704,44.05162125909509,1.672570910713465
INTC,56.05844323962994,50.50328472840211,52.3328309909194,1.9335006948842823
NVDA,253.74489821434233,205.57084063905899,226.8530387881382,18.086833999433797
XOM,75.52217949998435,51.75158230020118,60.264286864010955,8.534852843347998
,90.95025910015288,,,
