Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,132.71243185780898,4.919781017133897,0.0,0.0
AAPL,83.51198171228037,0.5953692692939127,2.8101508853649224,0.0
AMZN,91.40500585246592,1.132213459347041,4.7613094798913975,0.0
BAC,51.62950417378344,0.6202920925882542,23.06437750779026,0.0
F,106.44897248163063,0.15743435135534722,102.30816608580699,0.0
GOOG,56.216736901935306,1.2070551202459967,30.03900919408453,0.0
IBM,56.59850153212929,1.7583292331109317,5.878309898145638,0.0
INTC,63.54107739702104,1.0050114034461728,6.1239960845598915,0.0
NVDA,266.7137037757848,0.07598328497978292,82.2191788613414,0.0
XOM,88.30048516845787,1.9073362475280027,7.172074550858267,0.0
