Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,204.00817740868115,0.6202823874390897,0.0,0.0
AAPL,131.6784229285879,0.7099944860180726,23.771307229192267,0.0
AMZN,398.24782253407983,0.6755522761892266,0.0,0.0
BAC,93.20997908547311,1.5083255057502265,1.3503086419753072,0.0
F,80.14483937841038,1.0945768137014058,5.696202531645573,0.0
GOOG,132.08502523610122,1.3002029756098896,2.2491492373134725,0.0
IBM,83.66040828613089,2.0686515391582767,6.968409173519099,0.0
INTC,81.43866575884147,4.00174610684727,0.0,0.0
NVDA,252.12081084143267,0.8446356778444674,11.380623411571236,0.0
XOM,56.82719588656046,4.373703039277924,15.819413514631538,0.0
