Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,117.69675570950452,4.51269525246772,0.0,0.0
AAPL,81.61856144667509,0.4262199770266192,2.8101508853649224,0.0
AMZN,66.54609643811715,0.6920338282726312,5.2336120142211975,0.0
BAC,49.01419479536361,0.9701890828085038,23.06437750779026,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,55.48136333099656,1.0844595882063242,30.03900919408453,0.0
IBM,54.8154008143258,1.7641718304083196,5.842136045129967,0.0
INTC,60.1273573198691,1.1561905223699702,10.766966860143803,0.0
NVDA,245.74063620622604,0.08869100818463317,6.235733162213121,0.0
XOM,76.929301441608,1.0627331097316757,7.172074550858267,0.0
,91.02778335884929,1.1757384199476397,10.278826404146212,0.0
