Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,121.54267856635192,2.5016879067341344,0.0,0.0
AAPL,86.00939877077838,0.7005500908489148,2.8101508853649224,0.0
AMZN,74.93905416103874,1.4967660373637717,3.3525133865317702,0.0
BAC,47.15964350239901,0.6871695013381686,21.89570403419162,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,54.783116261807706,1.5202077962849665,0.0,0.0
IBM,58.62364526743225,1.3669519935363683,17.781585801924415,0.0
INTC,60.008149579963884,1.6536941374036729,6.1239960845598915,0.0
NVDA,241.9584703924646,0.0,6.235733162213121,0.0
XOM,85.82574654495154,1.9648228285332938,7.172074550858267,0.0
,93.3158069132995,1.1891850292043291,7.699596172730006,0.0
