Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,121.17184782059212,2.4350799931744787,0.0,0.0
AAPL,86.90569581686714,0.851370882447069,2.8101508853649224,0.0
AMZN,88.76617413756775,1.4137781685866297,5.840257145378443,0.0
BAC,49.01419479536361,0.9701890828085038,23.06437750779026,0.0
F,102.30816608580699,0.0,11.624203821656048,0.0
GOOG,60.39636819279509,1.2993980890258177,1.4934984420328818,0.0
IBM,53.35283428726221,1.0396106571470876,19.691583979395126,0.0
INTC,58.84183904369955,0.8971852302923072,6.1239960845598915,0.0
NVDA,241.9584703924646,0.0,6.235733162213121,0.0
XOM,80.85285868123066,1.8848543754261042,7.172074550858267,0.0
,94.35684492536498,1.0791466478907998,8.405587557924898,0.0
