Stocks,Max,Min,Mean,STD
AAL,132.5105940720678,0.0,15.5466676054784,21.321427895173304
AAPL,81.61856144667509,2.8101508853649224,11.14493241544407,7.562828346772996
AMZN,81.92871023849955,2.407742246186093,21.41068529305052,9.202894406798876
BAC,47.15964350239901,3.8303716370269054,23.848413720567553,2.538177781887882
F,106.44897248163063,11.624203821656048,47.875798487729256,16.11255397558992
GOOG,51.172345366494824,1.4934984420328818,13.390826323458615,2.751364287987226
IBM,52.26446660247194,5.842136045129967,32.10473972453111,2.0851315634587175
INTC,60.57585985216741,5.673707900121851,30.324690311831226,5.007285116244567
NVDA,241.9584703924646,2.5534484222523863,149.36675880818086,14.566217795479709
XOM,72.84010293066393,7.172074550858267,14.899436297836967,1.5621958681610948
,92.84777268855348,,,
